"category","subcategory","name","url","feed_url","feed_error_attempt","alexa","image_capture_attempt","attempt_reset_count","image_hour","image_updated_at","status"
"News","TopNews","Fox News","http://www.foxnews.com/","http://feeds.feedburner.com/foxnews/latest","","206","","1","H","37 minutes ago","active"
"News","TopNews","BBC","http://www.bbc.com/","http://feeds.bbci.co.uk/news/rss.xml#","","133","","2","H","55 minutes ago","active"
"News","TopNews","Yahoo News","http://news.yahoo.com/  ","","","650","","","H","Dec 21, 2015","inactive"
"News","TopNews","Washington Post","http://www.washingtonpost.com/","http://feeds.washingtonpost.com/rss/politics","","224","","3","H","56 minutes ago","active"
"News","Finance&Business","Bloomberg","http://www.bloomberg.com/ ","","","321","","1","H","55 minutes ago","active"
"News","TopNews","Associated Press","http://bigstory.ap.org/","","","2246","","","H","Jan 11, 2016","inactive"
"News","TopNews","World Politics Review","http://www.worldpoliticsreview.com/","","","266699","","","H","Feb 6, 2018","problem"
"News","TopNews","National Journal","http://www.nationaljournal.com/","","","12185","","","H","Sep 17, 2016","inactive"
"News","TopNews","Time","http://www.time.com/time/ ","http://feeds.feedburner.com/time/topstories","","360","","3","H","55 minutes ago","active"
"News","TopNews","US News & World Report","http://www.usnews.com/ ","http://www.usnews.com/rss/usnews","1","1139","","","H","Dec 8, 2015","inactive"
"News","TopNews","Voice of America","http://www.voanews.com/ ","http://www.voanews.com/api/","","4524","","1","H","49 minutes ago","active"
"News","TopNews","Politico","http://www.politico.com/ ","http://www.politico.com/rss/politicopicks.xml","","1788","","1","H","3 minutes ago","active"
"News","TopNews","Debka","http://www.debka.com/ ","http://www.debka.com/feeds/latest/","195","20594","","8","D","22 hours ago","active"
"News","TopNews","Agence France Press","http://www.afp.com/en/news/","","","22185","","","H","Dec 8, 2015","inactive"
"Ideas","Ideas","The Conversation","https://theconversation.com/us ","https://theconversation.com/articles.atom?language=en","494","10360","","","D","15 hours ago","active"
"News","TopNews","Drudge Report","http://drudgereport.com/ ","","","648","","","D","Dec 7, 2015","inactive"
"Ideas","Specialized","Defense News","http://www.defensenews.com/","http://rssfeeds.defensenews.com/defensenews/home","354","38479","","","D","19 hours ago","active"
"News","Magazines","Wired","http://www.wired.com/ ","http://www.wired.com/feed/","","679","","","D","13 hours ago","active"
"News","Magazines","Venture Beat","http://www.venturebeat.com/ ","http://feeds.feedburner.com/venturebeat/SZYF ","","2085","","","D","Nov 4, 2017","problem"
"News","Magazines","Mother Jones","http://www.motherjones.com/ ","http://www.motherjones.com/rss/blogs_and_articles/feed","","3481","","","D","14 hours ago","active"
"News","Magazines","Economist","http://www.economist.com/ ","http://www.economist.com/sections/international/rss.xml","","1612","","","D","12 hours ago","active"
"News","Magazines","Genteleman's Quarterly","http://www.gq.com/","","","4090","","","D","Dec 8, 2015","inactive"
"Ideas","Ideas","Paris Review","http://www.theparisreview.org/blog/","http://www.theparisreview.org/blog/feed/","","30875","","","D","10 hours ago","active"
"News","Magazines","New Yorker","http://www.newyorker.com/ ","http://www.newyorker.com/feed/everything","","1692","","1","D","12 hours ago","active"
"News","Magazines","Vanity Fair Hive News","http://www.vanityfair.com/news","","","2572","","","D","18 hours ago","active"
"News","Magazines","Entrepreneur","http://www.entrepreneur.com/ ","https://www.entrepreneur.com/latest.rss","","884","","","D","14 hours ago","active"
"News","Magazines","CFO","http://www.cfo.com","https://www.entrepreneur.com/latest.rss","","81456","","","D","Sep 24, 2017","problem"
"News","Magazines","CIO","http://www.cio.com/ ","http://www.cio.com/index.rss","","8041","","","D","13 hours ago","active"
"News","Magazines","Commentary","https://www.commentarymagazine.com/blog/","https://www.commentarymagazine.com/feed/","","53696","","","D","17 hours ago","active"
"News","Magazines","The Nation","https://www.thenation.com/subject/world/","http://www.thenation.com/feed/?post_type=article","","12985","","","D","17 hours ago","active"
"News","Magazines","Variety","http://variety.com/","","","1762","","","D","13 hours ago","active"
"News","Magazines","Prospect Magazine","http://www.prospectmagazine.co.uk/","http://prospect.org/rss.xml","233","183302","","","D","17 hours ago","active"
"News","TopNews","National Interest","http://nationalinterest.org/ ","http://nationalinterest.org/feed","","11100","","","D","14 hours ago","active"
"News","Magazines","The New Republic","https://newrepublic.com/","","","26263","","","D","16 hours ago","active"
"News","Magazines","Readers Digest","http://www.rd.com/ ","http://www.rd.com/feed/","","7338","","","D","Oct 13, 2017","problem"
"Info","Services","Best Ezines","http://bestezines.com/ ","","","430690","","","N","","active"
"Info","Services","W3 Newspapers","http://www.w3newspapers.com/ ","","","15366","","","N","","active"
"News","Magazines","Harpers","http://harpers.org/","http://harpers.org/feed/","","95329","","","D","Aug 3, 2016","problem"
"News","Finance&Business","Money Magazine","http://time.com/money/  ","","","353","","","D","10 hours ago","active"
"News","Finance&Business","Yahoo Finance","http://finance.yahoo.com/ ","http://finance.yahoo.com/news/rssindex/","14","550","","","H","Jul 13, 2016","problem"
"News","Finance&Business","Financial Times","http://www.ft.com/ ","http://www.ft.com/rss/home/europe","","1164","","1","H","Oct 22, 2017","problem"
"News","Finance&Business","Fortune","http://fortune.com/ ","","","1491","","","D","17 hours ago","active"
"News","Finance&Business","Forbes","http://www.forbes.com/","","","165","","","D","Oct 13, 2017","problem"
"News","Finance&Business","Kiplinger","http://www.kiplinger.com/","","","9713","","","D","Dec 7, 2015","inactive"
"News","Finance&Business","Investors Business Daily","https://www.investors.com/news/","http://feeds2.feedburner.com/BusinessRss","","10484","","","D","4 days ago","problem"
"News","Finance&Business","Global Finance","https://www.gfmag.com/ ","","","133487","","","D","Dec 8, 2015","inactive"
"News","Finance&Business","Project Syndicate","http://www.project-syndicate.org/ ","","","27281","","","D","Mar 23, 2016","inactive"
"News","Finance&Business","The Street","http://www.thestreet.com/ ","","","2115","","","H","Dec 8, 2015","inactive"
"News","Finance&Business","Fiscal Times","http://www.thefiscaltimes.com/ ","http://www.thefiscaltimes.com/feeds/articles/all/rss.xml","","19261","","","D","10 hours ago","active"
"News","Finance&Business","Motley Fool","http://www.fool.com/  ","","","1365","","","D","12 hours ago","active"
"News","Finance&Business","Financialist","http://www.thefinancialist.com/ ","","","135721","","","D","Oct 27, 2015","inactive"
"News","Finance&Business","Economonitor","http://www.economonitor.com/","http://www.economonitor.com/feed/","","235176","","","D","Sep 28, 2017","problem"
"News","Finance&Business","Middle Market","http://www.themiddlemarket.com/ ","","","295449","","","D","Dec 8, 2015","inactive"
"News","Sports","Fox Sports","http://www.foxsports.com/","","","1495","","","H","Dec 8, 2015","inactive"
"News","Sports","SB Nation","http://www.sbnation.com/","http://www.sbnation.com/rss/current","","808","","","D","Dec 7, 2015","inactive"
"News","Sports","Sports Illustrated","http://www.si.com/ ","","","1134","","","H","Dec 8, 2015","inactive"
"Ideas","Specialized","Golf Magazine","http://www.golf.com/","","","13859","","","D","Oct 2, 2017","problem"
"News","Sports","Bleacher Report","http://bleacherreport.com/","http://bleacherreport.com/articles/feed","","336","","","H","Jul 12, 2016","problem"
"News","Sports","Deadspin","http://deadspin.com/","","","968","","","D","","inactive"
"News","Sports","Sporting News","http://www.sportingnews.com/","http://www.sportingnews.com/rss","","5937","","","D","10 hours ago","active"
"News","Sports","Scout","http://www.scout.com/","http://rss.scout.com/rss.aspx?sid=143 ","","3298","","","D","Jul 4, 2016","problem"
"News","Sports","Fansided","http://fansided.com/","","","11970","","","D","12 hours ago","active"
"News","Sports","Yahoo Sports","http://sports.yahoo.com/","","","550","","","H","Dec 8, 2015","inactive"
"News","Sports","Rant Sports","http://www.rantsports.com/","","","45825","","","D","Dec 8, 2015","inactive"
"News","Sports","Post Game","http://www.thepostgame.com/","","","13098","","","D","Oct 18, 2017","problem"
"Ideas","Specialized","Golf Digest","http://www.golfdigest.com/","","","12380","","","D","Jun 4, 2016","problem"
"News","TopNews","The Guardian","http://www.theguardian.com/ ","http://www.theguardian.com/international/rss","1","150","","1","H","52 minutes ago","active"
"News","World","Philipines Star","http://www.philstar.com/","http://www.philstar.com/rss/headlines","","6179","","","H","23 minutes ago","active"
"News","World","Nikkei Asian Review","http://asia.nikkei.com/  ","http://asia.nikkei.com/rss/feed/nar","","688","","1","H","19 minutes ago","active"
